campus,place_id,name,site,category,borough,street,city,postal_code,state,latitude,longitude,verified
Penn State University Park,ChIJG36B68CozokRHjpikBvmP-8,Nittany Garden Apartments,https://www.apartmentstore.com/building/state-college/nittany-gardens/,Apartment building,,445 Waupelani Dr A16,State College,16801,Pennsylvania,40.7777603,-77.8551519,True
Penn State University Park,ChIJ2ZFgr_GlzokRlEdDJIv3WFU,Meridian on College Avenue,http://www.meridianoncollegeavenue.com/,Apartment building,,646 E College Ave,State College,16801,Pennsylvania,40.8009681,-77.8521347,True
Penn State University Park,ChIJi1Z3YsGozokR6ifsCiIJ7gE,Briarwood Apartment Homes & Townhomes,https://www.morgan-properties.com/apartments/pa/state-college/briarwood/?utm_source=googlemybusiness,Apartment complex,,679-A Waupelani Dr,State College,16801,Pennsylvania,40.7734185,-77.85563479999999,True
Penn State University Park,ChIJKxwv75mozokRE_Y6s5wusVI,PSU Houses,http://www.psuhouses.com/,Apartment rental agency,,437 W Beaver Ave,State College,16801,Pennsylvania,40.7901493,-77.8649791,True
Penn State University Park,ChIJG6PgZdCpzokRB56ZZZ2nPoo,The Canyon,https://www.livethecanyon.com/,Apartment rental agency,,309 E Beaver Ave,State College,16801,Pennsylvania,40.795987,-77.8571561,True
Penn State University Park,ChIJ61ZphKCozokRgDd6c0WbmIM,Heights at State College,http://www.heightsatstatecollege.com/,Apartment building,,201 Northwick Blvd,State College,16803,Pennsylvania,40.7880142,-77.8970391,True
Penn State University Park,ChIJTf00b6KozokR3Z7Dfnj4ZXo,"Continental Real Estate Mgmt, Inc.",https://www.continentalrealestate.net/,Property management company,,300 S Allen St,State College,16801,Pennsylvania,40.7921704,-77.8584911,True
Penn State University Park,ChIJWchFlI-ozokRx0vkCUET5Qw,White Course Apartments,https://housing.psu.edu/weston-community-center,Student housing center,University Park,"Weston Community Center, Duff Dr",University Park,16802,Pennsylvania,40.7895543,-77.8727902,False
Penn State University Park,ChIJc3JrGwOmzokRl_jsCCW171A,University Terrace Apartments,https://www.apartmentstore.com/building/state-college/university-terrace/,Apartment building,,825 Bellaire Ave,State College,16801,Pennsylvania,40.801122,-77.8459499,True
Penn State University Park,ChIJFws_9NCnzokRWuhhIW9H3ro,The Bryn Apartments,https://livethebryn.com/?y_source=1_MTUzMDg0NzYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Apartment building,,601 Vairo Blvd,State College,16803,Pennsylvania,40.8103434,-77.8925062,True
Penn State University Park,ChIJaV-j6DCpzokRb8hpB9nFPuk,The Maxxen,https://www.themaxxen.com/?utm_source=GoogleMyBusiness,Apartment complex,,131 Hiester St,State College,16801,Pennsylvania,40.7968652,-77.856444,True
Penn State University Park,ChIJT7zO_vWpzokRvlvptRzv10w,Aspen State College,https://www.aspenstatecollege.com/,Apartment complex,,1275 Pennsylvania Ave,State College,16801,Pennsylvania,40.808265,-77.8330876,True
